at_ismi,at_id,bugun_tarih,bugun_sehir,bugun_kosu_no,json_dosyasi,onceki_kosu_url,at_derece,at_sira,onceki_kosu_birinci_ismi,onceki_kosu_birinci_derece,onceki_kosu_birinci_ganyan,onceki_kosu_mesafe,onceki_kosu_pist
CANOĞLUCAN,,20250926,bursa,9,bursa_atlari_20250926.json,https://yenibeygir.com/18-09-2025/izmir/7/sonuclar?kosu=141774&at=87867,1.23.05,3,AKSU HAN,1.21.82,"8,70",1200,Kum
HIZLI EMEL,,20250926,bursa,9,bursa_atlari_20250926.json,https://yenibeygir.com/16-09-2025/kocaeli/2/sonuclar?kosu=141774&at=92225,1.36.42,2,ŞAHSEKİN,1.36.26,"5,45",1400,Kum
KILIÇ OSMAN,,20250926,bursa,9,bursa_atlari_20250926.json,https://yenibeygir.com/22-09-2025/bursa/5/sonuclar?kosu=141774&at=89767,1.32.43,7,KUTADGU,1.30.26,"10,50",1300,Kum
SALUKİ,,20250926,bursa,9,bursa_atlari_20250926.json,https://yenibeygir.com/31-07-2025/kocaeli/9/sonuclar?kosu=141774&at=86068,1.38.04,4,TUNCER,1.36.59,"1,45",1400,Kum
ŞAHSEKİN,,20250926,bursa,9,bursa_atlari_20250926.json,https://yenibeygir.com/16-09-2025/kocaeli/2/sonuclar?kosu=141774&at=86444,1.36.26,1,ŞAHSEKİN,1.36.26,"5,45",1400,Kum
MUCİT TAY,,20250926,bursa,9,bursa_atlari_20250926.json,https://yenibeygir.com/02-09-2025/ankara/6/sonuclar?kosu=141774&at=90828,1.50.66,8,GÜRAYHAN,1.43.34,"9,10",1500,Kum
ERDALIN OĞLU,,20250926,bursa,9,bursa_atlari_20250926.json,https://yenibeygir.com/19-09-2025/bursa/9/sonuclar?kosu=141774&at=97365,1.18.92,5,KIRGINIM,1.18.30,"2,10",1200,Çim
ŞEHNAZ LONGA,,20250926,bursa,9,bursa_atlari_20250926.json,https://yenibeygir.com/15-09-2025/bursa/5/sonuclar?kosu=141774&at=94013,1.40.86,10,FERMANDER,1.39.70,"16,80",1500,Çim
İLCİN HATUN,,20250926,bursa,9,bursa_atlari_20250926.json,https://yenibeygir.com/05-09-2025/bursa/9/sonuclar?kosu=141774&at=96300,1.38.82,3,ERDALIN OĞLU,1.38.27,"4,05",1400,Kum
KARAVAŞ,,20250926,bursa,9,bursa_atlari_20250926.json,https://yenibeygir.com/01-09-2025/bursa/8/sonuclar?kosu=141774&at=76012,1.42.82,13,İLCİN HATUN,1.31.00,"57,00",1300,Kum
KRAL HAKAN,,20250926,bursa,9,bursa_atlari_20250926.json,https://yenibeygir.com/05-09-2025/bursa/9/sonuclar?kosu=141774&at=93662,1.44.87,14,ERDALIN OĞLU,1.38.27,"4,05",1400,Kum
BİLGE HÜMA,,20250926,bursa,9,bursa_atlari_20250926.json,https://yenibeygir.com/11-09-2025/izmir/7/sonuclar?kosu=141774&at=101025,2.38.73,10,ÖZGÜLEN GÜZELİ,2.25.12,"4,80",2000,Kum
